letter|standard|type|audio|baseWords|moreWords
ch|tʃ|2|ch.mp3|child,check,China|chemical,child,check,China,chairman,each,beach,touch,cheap,challenge,changeable,chill,
ch|k|2|ch_k.mp3|Christmas,character,chemistry|Christmas,character,chemistry
ck|k|2|ck.mp3|luck,truck,chick|chick,check,chick,knock,back,truck,jacket,luck,suck,truck,sack,pack,track,duck,stick,neck,pick,attack,snack,stock,mock,hack
dg|dʒ|2|dg.mp3|gadget,lodge,gadget|gadget,lodge,gadget
dge|dʒ|2|dge.mp3|bridge,knowledgeable,porridge|hedge,badge,bridge,porridge,judgement,abridge,grudge,drudge,pledge,dodge,knowledgeable
dj|dʒ|2|dj.mp3|adjustment,adjust,adjustable|adjustment,adjust,adjustable
dr|dr|2|dr.mp3|dreamt,drop,dry|drama,drug,dragon,dreamt,drive,drop,drunk,driver,dry,hundred,dragonfly,draft,drain,dramatic,drastic,drawer,dread,dreadful,dressmaker
ds|dz|2|ds.mp3|words,goods,beds|words,goods,beds,odds,lords,finds,deeds,guards,kinds,proceeds,holds,ends,needs,understands,raids
gh|g|2|gh.mp3|ghost,ghastly,ghetto|ghost,ghastly,ghetto,ghetto,ghoul,
gh|f|2|gh_f.mp3|laugh,enough,tough|laugh,enough,tough
ng|ŋ|2|ng.mp3|ring,sing,strong|ring,sing,strong,being,something,interesting,exciting,lighting,beginning,cling,prolong,frightening,belong,moving,ending
ph|f|2|ph.mp3|phone,elephant,phony|phone,phantom,phenomenon,philosophy,elephant,phony,physicist,physically,photosynthesis,phoenix,phrase,physiology,phonetic
qu|kw|2|qu.mp3|queen,question,quick|queen,quarrel,question,quick,quote,quotation,quiz,quit,quiver,quilt,quill,quicken,quibble,queue,questionnaire,queer,quake
sh|ʃ|2|sh.mp3|shirt,shell,ship|shirt,shade,shell,ship,show,shut,shrink,shrimp,shout,shot,short,shovel,shipyard,shame
th|θ|2|th.mp3|path,thank,think|path,thing,thought,,thief,thousand,thank,think,throw,three,thirteen,thirty,through,bath,thunder,throughout,theme,thirsty
th|ð|2|th_z.mp3|weather,they,there|weather,that,they,thus,then,there,their,southern,bathe,either,northern,the,feather,whether,leather,further
tr|tr|2|tr.mp3|tree,transportation,trust|tree,treasure,track,trial,trot,trust,transport,trap,transportation,tropical,transfer,trilogy,trace,treason,tremendous,treasure,triangle,translate
ts|ts|2|ts.mp3|beats,shorts,gifts|beats,tsarism,tsunami,pets,sweets,shorts,sorts,gifts,accountants,boats,boots,sports,fruits,robots,tsunami,expects,shirts,cents
wh|w|2|wh.mp3|what,white,when|what,white,when,whereas,whereby,why,whisky,whisker,whitewash,where,which,whip,whirl,whistle,whilst
wh|w|2|wh_h.mp3|who,whoever,wholesome|who,whoever,wholesome,wholly
ex|ɪgz|2|ex.mp3|exam,exist,exact|exam,exist,exact,exacerbate,example,examine
ex|eks|2|ex_eks.mp3|exercise,excellent,exercise|exercise,excellent,exercise,expert,extra
