letter|standard|type|audio|baseWords|moreWords
ar|ɔ:|8|ar.mp3|war,warn,quarter|war,warn,quarter
aw|ɔ:|8|aw.mp3|law,dawn,straw|law,dawn,straw,raw,jaw,lawyer
al|ɔ:|8|al.mp3|mall,fall,talk|mall,fall,talk,walk,chalk,stalk,all
ear|ɪə|8|ear.mp3|weary,dear,tear|weary,dear,tear,tea,dear,fear,fear,ear,hear,near,shear,rear,sear
ear|ɜ:|8|ear_e.mp3|search,dearth,early|search,dearth,early,earth,earn,learn,earnest
eer|ɪə|8|eer.mp3|deer,cheer,beer|deer,cheer,beer,jeer,sneer,peer,pioneer,engineer,career
ew|ju:|8|ew.mp3|mew,new,dew|mew,new,dew,few,newspaper
are|eə|8|are_ea.mp3|care,hare,share|care,hare,share,scared,spare,square
air|eə|8|air_ea.mp3|chair,hair,pair|chair,hair,pair,airplane
ear|eə|8|ear_ea.mp3|pear,wear,swear|pear,wear,swear
eir|eə|8|eir_ea.mp3|heir,their|heir,their
ere|eə|8|ere_ea.mp3|there,where|there,where
i|aɪ|8|i.mp3|blind,child,sigh|blind,child,sigh,design,advise,realize,find,wide,wild,mild,high,sigh,night,sign,assignment,advise,rise,surprise
y|aɪ|8|y.mp3|fly,analyse,occupy|fly,analyse,occupy,satisfy,
our|ɔ:|8|our.mp3|course,source,four|course,source,four,resource,your,yourself,course,pour
oar|ɔ:|8|oar.mp3|board,blackboard,coarse|board,blackboard,coarse,hoarse
oor|ɔ:|8|oor.mp3|floor,door,moor|floor,door,moor
ore|ɔ:|8|ore.mp3|snore,therefore,before|snore,therefore,before,snore
ow|aʊ|8|ow.mp3|howl,how,now|howl,how,now,powder,frown,brown,down
ow|əʊ|8|ow_o.mp3|bowl,sow,own|bowl,sow,own,mow,grow,arrow,borrow
ought|ɔ:t|8|ought.mp3|thought,fought,bought|thought,fought,bought,brought,ought,fought
