letter|standard|type|audio|baseWords|moreWords
b|b|1|b.mp3|baby,bad,bed|baby,babble,bad,bed,bid,bingo,bead,bib,base,but,bewitch,cobble,tubby
c|k|1|c.mp3|cat,duck,climb|cat,code,cut,cab,chord,coat,come,climb,clear,Atlantic,cure,copper,success,chronic,luck,duck,suck
d|d|1|d.mp3|date,dog,disk|date,deck,disk,dog,duty,daddy,data,dark,due,dawn,danger,decide,card,read,deny,mad,add,riddle,odd,sudden,edit
f|f|1|f.mp3|coffee,father,foot|flight,coffee,father,fed,figure,fog,fund,farm,five,face,wife,fish,fame,aloof,life,feather,fat,foot,leaf,staff,fluffy,cuff
g|g|1|g.mp3|go,gun,get|gather,get,give,go,gun,gate,egg,game,gear,bag,girl,luggage,giggle,beggar,blog,ghost,guide,guard,league
j|dʒ|1|j.mp3|job,joke,juice|jaw,jet,Jim,job,July,juice,jump,jar,Jew,jeep,January,join,June,judge,jewelry,journal,just,jade,journey,jeans,Jesus,joke
k|k|1|k.mp3|make,kid,keep|kid,key,Kate,kettle,kick,Kobe,Kuwait,kind,like,look,kilogram,joke,make,break,take,bake,keep,cooke,lake,keen
l|l|1|l.mp3|all,milk,school|lady,milk,land,let,lily,lonely,luck,late,live,liberty,fall,lead,literature,lend,library,long,line,tell,sail,doll,all,school
m|m|1|m.mp3|me,match,many|summer,matter,merit,minister,mop,mud,madam,many,March,market,match,meal,me,miss,myth,name,some,morning,machine,poem,mistake
n|n|1|n.mp3|nice,near,nose|nose,pen,nation,net,night,note,nuclear,net,near,nail,narrow,new,mind,skin,hand,end,lane,pain,never,naive,know,nice
p|p|1|p.mp3|cup,put,plate|plate,cup,paper,pet,picnic,pose,put,progress,prop,problem,plain,pair,propose,pay,picture,pack,camp,purpose,pain,pretty,copper,sloppy
r|r|1|r.mp3|rat,rap,row|rat,rap,regret,ribbon,road,rug,press,profit,green,free,fresh,carry,brave,bright,brown,hungry,group,great,front,three,row
s|s|1|s.mp3|snake,save,set|snake,cheese,save,set,sit,sob,sun,soft,passage,state,same,smile,class,possess,soon,stupid,slow,salad,sail,spell,tennis,science
t|t|1|t.mp3|teacher,heat,tell|teacher,heat,table,tell,Tibet,tool,tube,hit,take,tip,pottery,batter,tail,tale,talk,type,toy,tiger,timid,hot,night,pattern
v|v|1|v.mp3|view,give,value|vase,leave,vast,vet,view,volume,vulgar,five,live,vain,very,vacant,give,village,valid,value,vex,alive,review,van,vicar,vigor
w|w|1|w.mp3|water,we,work|water,wool,wax,we,wither,win,work,wall,will,window,waist,waltz,wander,war,warm,wash,waste,wealth,weapon,weary
x|ks|1|x.mp3|fox,ox,tax|fox,xerox,index,ox,tax,express,explain,external,six,box,mix,axe,exclude,text,explicit,excel,export
y|j|1|y.mp3|year,young,yes|year,young,yak,yes,yield,yummy,yours,yacht,yard,young,yarn,York,youngster,yearbook,Yangtze,yoghurt,yoke,yearly
z|z|1|z.mp3|zero,zebra,zoo|zero,zebra,zap,zest,zipper,zoo,Zurich,zoology,zigzag,zealous,zag,zeal,zoom,zephyr,zookeeper
c|s|1|c_s.mp3|cell,center,cite|cell,center,cite,censor,cent,celebrity,centimeter,central,cereal,ceremony,certificate,cigar,cipher,cite,civic,civil,civilized,circumstance
c|ʃ|1|c_sh.mp3|ocean,Oceania,specious|ocean,Oceania,specious,association,specialty,Confucianism,associative
cc|ks|1|cc_ks.mp3|accept,accident,acceptance|accept,accident,acceptance,accidental,successful,occupation,succeed
cc|k|1|cc_k.mp3|occupy,occasion,accord|occupy,occasion,accord,occupation,accordance,occurrence,accusation
n|ŋ|1|n_n.mp3|thank,angle,rank|thank,angle,rank,young,singular,bank,tink,sink,language,English,England,linguistic
